Gene Name,Classification ID,Cluster_Top_Terms
HLA-C,6,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912) | Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)
DDX5,9,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377) | mRNA Splicing, Via Spliceosome (GO:0000398) | mRNA Processing (GO:0006397)"
TSPO,8,Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Cell Population Proliferation (GO:0008285) | Negative Regulation Of Cellular Process (GO:0048523)
PRPF19,9,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377) | mRNA Splicing, Via Spliceosome (GO:0000398) | mRNA Processing (GO:0006397)"
HLA-DRA,6,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912) | Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)
LMNA,8,Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Cell Population Proliferation (GO:0008285) | Negative Regulation Of Cellular Process (GO:0048523)
APOC1,-1,
HDLBP,-1,
PSMB4,-1,
CIB1,5,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Programmed Cell Death (GO:0043069) | Negative Regulation Of Apoptotic Process (GO:0043066)
NECTIN2,6,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912) | Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)
C19orf53,-1,
ENSA,-1,
CLDN7,-1,
CST3,2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of Cell Migration (GO:0030335) | Supramolecular Fiber Organization (GO:0097435)
PRDX6,-1,
ATP5G2,-1,
CDC37,9,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377) | mRNA Splicing, Via Spliceosome (GO:0000398) | mRNA Processing (GO:0006397)"
UBC,-1,
SLC44A2,2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of Cell Migration (GO:0030335) | Supramolecular Fiber Organization (GO:0097435)
GIPC1,-1,
MAPKAPK2,-1,
PFDN5,2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of Cell Migration (GO:0030335) | Supramolecular Fiber Organization (GO:0097435)
TCEB2,-1,
COL18A1,8,Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Cell Population Proliferation (GO:0008285) | Negative Regulation Of Cellular Process (GO:0048523)
CLDN3,8,Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Cell Population Proliferation (GO:0008285) | Negative Regulation Of Cellular Process (GO:0048523)
SNRPB,9,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377) | mRNA Splicing, Via Spliceosome (GO:0000398) | mRNA Processing (GO:0006397)"
H1FX,-1,
MZT2B,-1,
TMED9,-1,
CLIC1,-1,
UBA52,9,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377) | mRNA Splicing, Via Spliceosome (GO:0000398) | mRNA Processing (GO:0006397)"
SCAND1,-1,
LAMTOR4,2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of Cell Migration (GO:0030335) | Supramolecular Fiber Organization (GO:0097435)
FKBP2,-1,
SEPW1,-1,
TRAF4,-1,
NDUFB2,7,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776) | Aerobic Respiration (GO:0009060) | Proton Motive Force-Driven ATP Synthesis (GO:0015986)
H3F3B,-1,
S100A6,-1,
NDUFB11,7,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776) | Aerobic Respiration (GO:0009060) | Proton Motive Force-Driven ATP Synthesis (GO:0015986)
TUFM,-1,
FXYD3,-1,
SSR4,-1,
NRBP1,-1,
YIPF2,-1,
PPP2R1A,-1,
GRB7,0,Negative Regulation Of Amide Metabolic Process (GO:0034249) | Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558) | Negative Regulation Of Translation (GO:0017148)
ATP5E,-1,
PSMB7,-1,
SLC9A3R1,8,Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Cell Population Proliferation (GO:0008285) | Negative Regulation Of Cellular Process (GO:0048523)
WDR34,-1,
BSG,-1,
ERBB2,5,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Programmed Cell Death (GO:0043069) | Negative Regulation Of Apoptotic Process (GO:0043066)
VIM,2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of Cell Migration (GO:0030335) | Supramolecular Fiber Organization (GO:0097435)
NUMA1,3,Positive Regulation Of Cellular Process (GO:0048522) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Regulation Of Cell Population Proliferation (GO:0042127)
MAP2K2,9,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377) | mRNA Splicing, Via Spliceosome (GO:0000398) | mRNA Processing (GO:0006397)"
COPS9,3,Positive Regulation Of Cellular Process (GO:0048522) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Regulation Of Cell Population Proliferation (GO:0042127)
MAGED1,5,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Programmed Cell Death (GO:0043069) | Negative Regulation Of Apoptotic Process (GO:0043066)
PHB,-1,
IDH2,-1,
CRIP2,-1,
COPE,-1,
AUP1,-1,
NUPR1,5,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Programmed Cell Death (GO:0043069) | Negative Regulation Of Apoptotic Process (GO:0043066)
ELOVL1,-1,
S100A11,8,Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Cell Population Proliferation (GO:0008285) | Negative Regulation Of Cellular Process (GO:0048523)
COX4I1,1,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980) | Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)
ACTG1,-1,
XBP1,5,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Programmed Cell Death (GO:0043069) | Negative Regulation Of Apoptotic Process (GO:0043066)
MMACHC,-1,
COL1A1,2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of Cell Migration (GO:0030335) | Supramolecular Fiber Organization (GO:0097435)
AP2S1,-1,
