Gene Name,Classification ID,Cluster_Top_Terms
Alb,-1,
Apoa2,-1,
Apoe,-1,
Ttr,-1,
Ahsg,-1,
mt-Co3,-1,
mt-Co1,-1,
Trf,-1,
mt-Atp6,-1,
Apoc1,-1,
Apoa1,-1,
Fabp1,-1,
mt-Cytb,-1,
Serpina3k,-1,
mt-Co2,-1,
Serpina1c,-1,
Ftl1,-1,
Serpina1e,-1,
Fth1,-1,
Rbp4,-1,
Fgb,-1,
C3,4,Translational Elongation (GO:0006414) | Regulation Of Translation (GO:0006417) | Response To Hydrogen Peroxide (GO:0042542)
Serpina1b,-1,
Hp,-1,
Mup3,-1,
Apoc3,-1,
Rplp1,-1,
Eef1a1,-1,
Mup20,-1,
Hpx,-1,
Serpina1a,-1,
Gc,-1,
Rps20,-1,
Rpl41,-1,
mt-Nd4,-1,
Mgst1,-1,
Fgg,-1,
Rpl13,-1,
Rps24,-1,
Gpx1,-1,
Selenop,-1,
Ambp,-1,
mt-Nd1,-1,
Rps8,-1,
Fga,-1,
Rps12,-1,
Dbi,-1,
Rpl23,-1,
Rps27a,-1,
mt-Nd2,-1,
Apoc4,-1,
Rps21,-1,
Rps2,-1,
Fau,-1,
Rpl21,-1,
Tpt1,-1,
H19,-1,
Mt1,-1,
Rpl32,-1,
Rpsa,-1,
Gm42418,-1,
Serpina1d,-1,
Rpl37,-1,
Gapdh,-1,
Hbb-bs,-1,
Aldob,-1,
Rpl28,-1,
Bhmt,-1,
H2-Q10,-1,
Rps16,-1,
Mup7,-1,
Scp2,-1,
Cps1,-1,
Ppia,-1,
Rpl35a,-1,
Cox4i1,-1,
Rpl27a,-1,
Rpl38,-1,
Rpl11,-1,
Ndufa4,-1,
Rpl36,-1,
Uqcrq,-1,
Vtn,-1,
Uqcr11,-1,
Rps7,-1,
Cox6c,-1,
Rps10,-1,
Kng1,-1,
Cox7c,-1,
Rplp0,-1,
Scd1,-1,
Prdx1,-1,
Serpinc1,-1,
Rps4x,-1,
Rps26,-1,
Rpl14,-1,
Rpl18a,-1,
Rps15a,-1,
Cyp3a11,-1,
Atp5b,-1,
Apoh,-1,
Rpl34,-1,
Mug1,-1,
Rpl4,-1,
Orm1,-1,
Wfdc21,-1,
Rpl37a,-1,
Rpl39,-1,
Hamp,-1,
Rps3a1,-1,
Ces1c,-1,
Rpl18,-1,
Gnmt,-1,
Cyb5a,-1,
Rps29,-1,
Rpl30,-1,
Rps19,-1,
Rps18,-1,
Rpl9,-1,
Rpl24,-1,
Clu,-1,
Rpl8,-1,
Rps5,-1,
Rps14,-1,
Itih4,-1,
Rps13,-1,
Rpl10a,-1,
Chchd2,-1,
Hspa8,-1,
Mup11,-1,
Gstm1,-1,
Rps23,-1,
Rps11,-1,
Pzp,-1,
Rpl15,-1,
Cat,-1,
Atp5j2,-1,
Rpl19,-1,
Rps15,-1,
B2m,-1,
Rpl26,-1,
Rpl17,-1,
Itih3,-1,
Rpl22,-1,
Uqcr10,-1,
Rplp2,-1,
Hint1,-1,
Rps3,-1,
Cox8a,-1,
Afp,-1,
Rpl12,-1,
Adh1,-1,
F2,6,Negative Regulation Of Blood Coagulation (GO:0030195) | Positive Regulation Of Blood Coagulation (GO:0030194) | Negative Regulation Of Fibrinolysis (GO:0051918)
Rpl6,-1,
Mat1a,-1,
Rps9,-1,
Ldha,-1,
Chchd10,-1,
Rack1,-1,
Hmgcs2,-1,
Azgp1,-1,
Atp5a1,-1,
Rps28,-1,
Rpl7,-1,
Aldh2,-1,
Cox5b,-1,
Rpl5,-1,
Hspe1,-1,
Mif,-1,
Ass1,-1,
Phyh,-1,
Rpl29,-1,
Ctsl,-1,
Atp5e,-1,
Cox6a1,-1,
Apoa4,-1,
Ctsb,-1,
Serpinf2,-1,
Eef2,-1,
Serf2,-1,
Cyp2e1,-1,
C4b,-1,
Apoa5,-1,
Cox7a2,-1,
Igfbp2,-1,
Actb,-1,
Rpl23a,-1,
Atp5l,-1,
Plg,-1,
Rps27l,-1,
Rpl36a,-1,
mt-Nd3,-1,
2010107E04Rik,-1,
Rnase4,-1,
Rpl31,-1,
Rpl7a,-1,
Apob,-1,
Rps25,-1,
Fn1,-1,
Cox7b,-1,
Rps17,-1,
Tmsb4x,-1,
Ifitm3,-1,
Ndufa6,-1,
Hpd,-1,
Ttc36,-1,
Rps6,-1,
P4hb,-1,
Ddt,-1,
Gsta3,-1,
Eef1b2,-1,
Cox5a,-1,
Uox,-1,
Rpl3,-1,
Ndrg2,-1,
Itm2b,-1,
Uqcrh,-1,
H2-K1,-1,
Stard10,-1,
Car3,-1,
Rpl35,-1,
Atp5k,-1,
Rps27,-1,
Usmg5,-1,
Apom,-1,
Akr1c6,-1,
Ndufb9,-1,
Eif1,-1,
Hsp90b1,-1,
Igfbp4,-1,
Psap,-1,
Ubb,-1,
Hspa5,-1,
Gpx4,-1,
Rpl10,-1,
Glud1,-1,
Calr,-1,
Eif5a,-1,
Apof,-1,
Atp5g1,-1,
Cdo1,-1,
Hsp90ab1,-1,
Pgrmc1,-1,
Slc38a3,-1,
Hba-a1,-1,
Cox6b1,-1,
Atp5j,-1,
Ces3a,-1,
Atp5f1,-1,
Acox1,-1,
