Gene Name,Classification ID,Cluster_Top_Terms
LYZ,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
VIM,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
CHGB,-1,
FN1,4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of MAPK Cascade (GO:0043410) | Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
COL3A1,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
COL1A2,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
COL1A1,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
LUM,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
SFTPC,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
SPARCL1,-1,
EPAS1,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
CD44,4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of MAPK Cascade (GO:0043410) | Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
PTGDS,-1,
XBP1,4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of MAPK Cascade (GO:0043410) | Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
ACTA2,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
RHOA,4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of MAPK Cascade (GO:0043410) | Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
ITGB1,4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of MAPK Cascade (GO:0043410) | Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
SOD2,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
PDIA3,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
DCN,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
ATF4,6,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508) | Positive Regulation Of DNA-templated Transcription (GO:0045893) | Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
JCHAIN,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
HSPA5,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
PECAM1,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
RNASE1,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
CTNNB1,6,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508) | Positive Regulation Of DNA-templated Transcription (GO:0045893) | Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
LTF,4,Positive Regulation Of Intracellular Signal Transduction (GO:1902533) | Positive Regulation Of MAPK Cascade (GO:0043410) | Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
SFRP2,6,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508) | Positive Regulation Of DNA-templated Transcription (GO:0045893) | Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
SCGB1A1,-1,
ICAM1,0,Response To Endoplasmic Reticulum Stress (GO:0034976) | Defense Response To Bacterium (GO:0042742) | Defense Response To Symbiont (GO:0140546)
STAT1,6,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508) | Positive Regulation Of DNA-templated Transcription (GO:0045893) | Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
PGC,-1,
