Gene Name,Classification ID,Cluster_Top_Terms
mt-Co1,-1,
mt-Co3,-1,
mt-Atp6,-1,
mt-Co2,-1,
mt-Cytb,-1,
mt-Nd4,-1,
mt-Nd1,-1,
mt-Nd2,-1,
Gm42418,-1,
Fth1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
mt-Nd3,-1,
Bc1,-1,
Cst3,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Gapdh,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rplp1,1,Ribosome
Rps21,1,Ribosome
Nrgn,-1,
Hspa8,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Cpe,-1,
Rps29,1,Ribosome
Calm1,4,Phototransduction | Salivary secretion | Pertussis
Tmsb4x,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Mt3,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl38,1,Ribosome
Rpl41,1,Ribosome
Ckb,-1,
Eef1a1,1,Ribosome
Rpl37,1,Ribosome
Apoe,2,Cholesterol metabolism
Cox4i1,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Mbp,-1,
Aldoa,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Snap25,8,Synaptic vesicle cycle | Insulin secretion | Vasopressin-regulated water reabsorption
Ubb,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Calm2,4,Phototransduction | Salivary secretion | Pertussis
Ppp3ca,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Psap,-1,
Plp1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Malat1,-1,
Ppia,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
mt-Nd5,-1,
Rpl13a,1,Ribosome
Rps24,7,Ribosome
Rpl13,1,Ribosome
Actb,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl21,1,Ribosome
Actg1,-1,
Cox6c,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Selenow,-1,
Fau,1,Ribosome
Atp1b1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp6v0c,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rps15,7,Ribosome
Pkm,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rps8,1,Ribosome
Cox8a,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Camk2n1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Hsp90aa1,9,Prostate cancer | IL-17 signaling pathway | Antigen processing and presentation
Hsp90ab1,9,Prostate cancer | IL-17 signaling pathway | Antigen processing and presentation
Pcp4,-1,
Pcsk1n,-1,
Rtn1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpsa,1,Ribosome
Uchl1,-1,
Rpl37a,1,Ribosome
Ndufa4,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Gnas,-1,
Ncdn,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rps27a,1,Ribosome
Ptgds,-1,
Atp5b,-1,
Rpl35a,7,Ribosome
Tpt1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Itm2c,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl26,7,Ribosome
Clu,6,Complement and coagulation cascades
Mt1,-1,
Slc1a2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Aldoc,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Meg3,-1,
Rpl28,1,Ribosome
Rps14,7,Ribosome
Atp5md,-1,
Rpl32,1,Ribosome
Cox5b,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Rps20,1,Ribosome
Stmn3,2,Cholesterol metabolism
Aplp1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl36,1,Ribosome
Eif1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp5k,-1,
Rpl30,1,Ribosome
Rpl27a,1,Ribosome
Cox7c,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Cox6a1,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Tspan7,-1,
Atp5e,-1,
Rpl34,1,Ribosome
Rps19,7,Ribosome
Rpl3,1,Ribosome
Cfl1,-1,
Rps12,-1,
Penk,-1,
Gpm6a,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Scd2,-1,
Rps27,7,Ribosome
Sparcl1,-1,
Mdh1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp5a1,-1,
Rpl11,7,Ribosome
Rpl18a,1,Ribosome
Ywhaz,-1,
Rpl9,1,Ribosome
Rpl17,1,Ribosome
Rps23,1,Ribosome
Dnm1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Gpx4,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Chchd2,-1,
Rpl24,1,Ribosome
Uqcr11,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Rpl8,1,Ribosome
Rpl19,1,Ribosome
Stmn1,2,Cholesterol metabolism
Ndrg4,-1,
Rps3a1,-1,
Rpl14,7,Ribosome
Ywhah,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
2900097C17Rik,-1,
Olfm1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Tpi1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Dynll1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Tuba1a,-1,
Rab3a,8,Synaptic vesicle cycle | Insulin secretion | Vasopressin-regulated water reabsorption
Rpl23,-1,
Rps10,1,Ribosome
Uqcrq,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Eno2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Eef2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Tuba1b,-1,
Rps7,7,Ribosome
Hbb-bs,-1,
Rps11,1,Ribosome
Rps26,1,Ribosome
Calm3,4,Phototransduction | Salivary secretion | Pertussis
Rtn3,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ldhb,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rps16,7,Ribosome
Fkbp1a,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Myl6,-1,
Chchd10,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Arf3,-1,
Ttc3,-1,
Vamp2,8,Synaptic vesicle cycle | Insulin secretion | Vasopressin-regulated water reabsorption
Chn1,-1,
Rplp2,1,Ribosome
Cox7a2,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Ubc,-1,
Tmsb10,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp5j2,-1,
Atp5l,-1,
Glul,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl31,1,Ribosome
Rps15a,1,Ribosome
Elob,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Slc25a4,-1,
Pebp1,-1,
Rpl4,1,Ribosome
Snrpn,-1,
Rps28,7,Ribosome
Prnp,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Dynll2,-1,
Rps2,1,Ribosome
Uqcr10,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Bex2,-1,
Ppp3r1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Bsg,-1,
Ndrg2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl39,1,Ribosome
Rps4x,1,Ribosome
Ap2m1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ctsb,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Grina,-1,
Atp1a2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Cck,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ndufa13,0,Non-alcoholic fatty liver disease (NAFLD) | Retrograde endocannabinoid signaling | Parkinson disease
Rpl6,1,Ribosome
Slc22a17,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Slc17a7,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Itm2b,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Pfdn5,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp5h,-1,
Hpca,-1,
Serinc1,-1,
Rpl5,7,Ribosome
Clstn1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Syt11,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Uqcrh,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Rps13,1,Ribosome
Thy1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rps25,7,Ribosome
Ywhag,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Tubb5,-1,
