原始ID,归一化ENSG,Approved_symbol,是否命中映射,Classification ID,Cluster_Top_Terms
ENSG00000149273,ENSG00000149273,RPS3,True,7.0,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235) | Cytoplasmic Translation (GO:0002181)
ENSG00000254709,ENSG00000254709,IGLL5,True,,
ENSG00000137818,ENSG00000137818,RPLP1,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000160180,ENSG00000160180,TFF3,True,,
ENSG00000231500,ENSG00000231500,RPS18,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000111640,ENSG00000111640,GAPDH,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000034510,ENSG00000034510,TMSB10,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000177600,ENSG00000177600,RPLP2,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000164587,ENSG00000164587,RPS14,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000197756,ENSG00000197756,RPL37A,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
